clip_id,reviewer,review_scope,manual_review_label,target_preservation,non_target_processing,qualitative_quality,issue_type,usable_for_metrics,clean_qualitative_candidate,paper_use,notes
170221_haggling_b2_hd_00_27_0001350000,jimin,full_condition_visual_review,non_target_blur_quality_caveat,ok,blur_only_on_clear_non_target_face,acceptable_with_caveat,blur_fallback_dominates,yes,no,possible_limitation_example,"Works overall, but a clearly visible non-target face is blurred rather than swapped; can be attributed to video quality or face size."
170221_haggling_b2_hd_00_27_0001850000,jimin,full_condition_visual_review,target_transient_alteration,very_brief_blur_when_target_turns_away,processed,minor_limitation,target_pose_change,yes,no,metrics_only_not_qualitative_example,The target is briefly blurred while turning away; the event is very short.
170221_haggling_b3_hd_00_27_0001250000,jimin,full_condition_visual_review,clean_pass,ok,ok,good,none,yes,yes,good_qualitative_candidate,Manual review found normal behavior.
170221_haggling_b3_hd_00_27_0001450000,jimin,full_condition_visual_review,clean_pass,ok,ok,good,none,yes,yes,good_qualitative_candidate,Manual review found normal behavior.
170224_haggling_b1_hd_00_08_0001350000,jimin,full_condition_visual_review,clean_pass,ok,ok,good,none,yes,yes,good_qualitative_candidate,Manual review found normal behavior.
170224_haggling_b1_hd_00_25_0001450000,jimin,full_condition_visual_review,clean_pass,ok,ok,good,none,yes,yes,good_qualitative_candidate,Manual review found normal behavior.
170224_haggling_b1_hd_00_25_0001750000,jimin,full_condition_visual_review,clean_pass,ok,ok,good,none,yes,yes,good_qualitative_candidate,Manual review found normal behavior.
170221_haggling_m1_hd_00_27_0001750000,jimin,full_condition_visual_review,clean_pass,ok,ok,good,none,yes,yes,good_qualitative_candidate,Manual review found normal behavior.
170224_haggling_a1_hd_00_27_0002950000,jimin,full_condition_visual_review,target_transient_alteration,blur_when_target_is_occluded,processed,limitation,target_occlusion,yes,no,metrics_only_not_qualitative_example,The target is blurred when the target is occluded.
170224_haggling_a2_hd_00_27_0002350000,jimin,full_condition_visual_review,non_target_swap_blur_flicker_caveat,ok,repeated_swap_blur_on_side_profile_non_target,acceptable_with_visual_artifact,non_target_side_profile_instability,yes,no,limitation_example,"The target is handled well, but a side-profile non-target repeatedly alternates between swap and blur and looks visually unstable."
170224_haggling_b3_hd_00_27_0002950000,jimin,full_condition_visual_review,target_transient_alteration,brief_blur_when_target_side_profile_at_beginning,processed,minor_limitation,target_side_profile,yes,no,metrics_only_not_qualitative_example,"At the beginning, when the target is turned sideways, the target is blurred briefly."
170224_haggling_b2_hd_00_27_0001750000,jimin,full_condition_visual_review,clean_pass,ok,ok,good,none,yes,yes,good_qualitative_candidate,Manual review found normal behavior.
170224_haggling_a1_hd_00_27_0002350000,jimin,full_condition_visual_review,non_target_swap_blur_flicker_caveat,ok,repeated_swap_blur_on_side_profile_non_target,acceptable_with_visual_artifact,non_target_side_profile_instability,yes,no,limitation_example,"The target is handled well, but a side-profile non-target repeatedly alternates between swap and blur and looks visually unstable."
170224_haggling_b3_hd_00_27_0002350000,jimin,full_condition_visual_review,non_target_blur_quality_caveat,ok,blur_only_on_clear_non_target_face,acceptable_with_caveat,blur_fallback_dominates,yes,no,possible_limitation_example,"Works overall, but a clearly visible non-target face is blurred rather than swapped; can be attributed to video quality or face size."
170224_haggling_a2_hd_00_27_0001750000,jimin,full_condition_visual_review,target_transient_alteration,brief_blur_when_target_side_profile_at_beginning,processed,minor_limitation,target_side_profile,yes,no,metrics_only_not_qualitative_example,"At the beginning, when the target is turned sideways, the target is blurred briefly."
170228_haggling_a1_hd_00_27_0002950000,jimin,full_condition_visual_review,non_target_blur_quality_caveat,ok,blur_only_on_clear_non_target_face,acceptable_with_caveat,blur_fallback_dominates,yes,no,possible_limitation_example,"Works overall, but a clearly visible non-target face is blurred rather than swapped; can be attributed to video quality or face size."
170221_haggling_m1_hd_00_08_0001750000,jimin,full_condition_visual_review,non_target_blur_quality_caveat,ok,blur_only_on_clear_non_target_face,acceptable_with_caveat,blur_fallback_dominates,yes,no,possible_limitation_example,"Works overall, but a clearly visible non-target face is blurred rather than swapped; can be attributed to video quality or face size."
170221_haggling_m2_hd_00_08_0001150000,jimin,full_condition_visual_review,target_transient_alteration,brief_blur_at_beginning,processed,minor_limitation,target_initial_pose_or_detection,yes,no,metrics_only_not_qualitative_example,The target is briefly blurred at the beginning.
170228_haggling_a1_hd_00_08_0002350000,jimin,full_condition_visual_review,clean_pass,ok,ok,good,none,yes,yes,good_qualitative_candidate,Manual review found normal behavior.
170221_haggling_b1_hd_00_27_0001150000,jimin,full_condition_visual_review,target_transient_alteration,brief_swap_and_blur_when_target_turns_away,processed,limitation,target_pose_change,yes,no,metrics_only_not_qualitative_example,"At the beginning, while the protected target turns away/backward, VEIL briefly swaps and blurs the target."
